BBL.ID,Proj,Year,Month,Day,Hour,Minute,id,Species,Location,Age
1151-40327,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40328,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40329,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40330,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40331,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40332,Pau,2014,8,11,11,51,487,SESA,BF,AHY
1151-40333,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40334,Pau,2014,8,11,11,51,NA,SESA,BF,AHY
1151-40335,Pau,2014,8,21,9,40,NA,SESA,BF,AHY
1151-40336,Pau,2014,8,21,9,40,473,SESA,BF,AHY
1151-40337,Pau,2014,8,21,9,52,476,SESA,BF,HY
1151-40338,Pau,2014,8,21,10,0,475,SESA,BF,HY
1151-40339,Pau,2014,8,21,10,20,NA,SESA,BF,AHY
1151-40340,Pau,2014,8,21,10,18,NA,SESA,BF,AHY
1151-40341,Pau,2014,8,21,10,23,NA,SESA,BF,AHY
1151-40342,Pau,2014,8,21,11,8,NA,SESA,BF,AHY
1151-40343,Pau,2014,8,21,11,41,NA,SESA,BF,AHY
1151-40344,Pau,2014,8,21,11,30,NA,SESA,BF,AHY
1151-40345,Pau,2014,8,21,12,19,NA,SESA,BF,AHY
1151-40346,Pau,2014,8,21,13,15,NA,SESA,BF,AHY
1151-40347,Pau,2014,8,21,13,15,472,SESA,BF,AHY
1151-40348,Pau,2014,8,21,13,15,474,SESA,BF,AHY
1151-40349,Pau,2014,8,21,13,50,494,SESA,BF,HY
1151-40350,Pau,2014,9,7,9,5,493,SESA,BF,NA
1151-40351,Pau,2014,9,7,9,10,489,SESA,BF,HY
1151-40352,Pau,2014,9,7,9,18,490,SESA,BF,HY
1151-40353,Pau,2014,9,7,9,25,491,SESA,BF,HY
1151-40354,Pau,2014,9,7,9,25,492,SESA,BF,HY
1151-40355,Pau,2014,9,7,9,40,NA,SESA,BF,HY
1151-40356,Pau,2014,9,7,9,40,NA,SESA,BF,HY
1151-40357,Pau,2014,9,7,9,40,495,SESA,BF,HY
1151-40358,Pau,2014,9,7,9,44,NA,SESA,BF,HY
1151-40359,Pau,2014,9,7,9,44,NA,SESA,BF,AHY
1151-40360,Pau,2014,9,7,9,44,NA,SESA,BF,HY
1151-40361,Pau,2014,9,7,9,44,NA,SESA,BF,AHY
1151-40362,Pau,2014,9,7,9,44,NA,SESA,BF,HY
1151-40363,Pau,2014,9,7,10,0,NA,SESA,BF,HY
1151-40364,Pau,2014,9,7,10,0,NA,SESA,BF,HY
1151-40365,Pau,2014,9,7,10,8,NA,SESA,BF,HY
1151-40366,Pau,2014,9,7,10,8,NA,SESA,BF,HY
1151-40367,Pau,2014,9,7,10,8,NA,SESA,BF,HY
1151-40368,Pau,2014,9,7,10,30,NA,SESA,BF,HY
1151-40369,Pau,2014,9,7,10,30,NA,SESA,BF,HY
1151-40370,Pau,2014,9,7,10,30,NA,SESA,BF,HY
1151-40371,Pau,2014,9,7,10,30,NA,SESA,BF,HY
1151-40372,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40373,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40374,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40375,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40376,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40377,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40378,Pau,2014,9,7,10,55,NA,LESA,BF,HY
1151-40379,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40380,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40381,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40382,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40383,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40384,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40385,Pau,2014,9,7,10,55,NA,SESA,BF,HY
1151-40386,Pau,2014,9,7,10,55,NA,SESA,BF,AHY
1151-40387,Pau,2014,9,18,13,20,496,SESA,SP,HY
1151-40388,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40389,Pau,2014,9,18,13,20,469,SESA,SP,HY
1151-40390,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40391,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40392,Pau,2014,9,18,13,20,467,SESA,SP,HY
1151-40395,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40396,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40397,Pau,2014,9,18,13,20,NA,SESA,SP,HY
1151-40398,Pau,2014,9,18,14,0,NA,SESA,SP,HY
2451-29301,Pau,2014,8,11,10,10,NA,SEPL,BF,AHY
2451-29302,Pau,2014,8,11,11,30,NA,SEPL,BF,AHY
2451-29303,Pau,2014,8,21,9,35,NA,SEPL,BF,AHY
2451-29304,Pau,2014,8,21,9,35,NA,SEPL,BF,AHY
2451-29305,Pau,2014,8,21,9,40,NA,SEPL,BF,AHY
2451-29306,Pau,2014,8,21,10,36,NA,SEPL,BF,AHY
2451-29307,Pau,2014,8,21,11,22,NA,SEPL,BF,AHY
2451-29308,Pau,2014,8,21,11,25,NA,SEPL,BF,AHY
2451-29309,Pau,2014,8,21,11,25,NA,SEPL,BF,HY
2451-29310,Pau,2014,8,21,11,52,NA,SEPL,BF,AHY
2451-29311,Pau,2014,8,21,12,52,NA,SEPL,BF,AHY
2451-29312,Pau,2014,8,21,12,35,NA,SEPL,BF,AHY
2451-29313,Pau,2014,8,21,12,35,NA,SEPL,BF,AHY
2451-29314,Pau,2014,8,21,13,15,NA,SEPL,BF,AHY
2451-29315,Pau,2014,9,7,9,5,NA,SEPL,BF,AHY
2451-29316,Pau,2014,9,7,9,5,NA,SEPL,BF,AHY
2451-29317,Pau,2014,9,7,9,5,NA,SEPL,BF,AHY
2451-29318,Pau,2014,9,7,9,18,NA,SEPL,BF,AHY
2451-29319,Pau,2014,9,7,9,25,NA,WRSA,BF,AHY
2451-29320,Pau,2014,9,7,9,25,NA,SEPL,BF,AHY
2451-29321,Pau,2014,9,7,9,40,NA,SEPL,BF,HY
2451-29322,Pau,2014,9,7,9,40,NA,SEPL,BF,AHY
2451-29323,Pau,2014,9,7,10,20,NA,SEPL,BF,HY
2451-29324,Pau,2014,9,7,10,20,NA,SEPL,BF,HY
2451-29325,Pau,2014,9,7,10,55,NA,SEPL,BF,HY
2451-29326,Pau,2014,9,7,10,55,NA,SEPL,BF,HY
1971-00627,Obrien,2014,8,4,10,5,NA,SESA,Oxcart,AHY
1971-00629,Obrien,2014,8,4,11,29,437,SESA,Oxcart,AHY
1971-00630,Obrien,2014,8,4,11,35,NA,SESA,Oxcart,AHY
1971-00631,Obrien,2014,8,4,13,38,NA,SESA,Oxcart,AHY
1971-00632,Obrien,2014,8,4,13,38,NA,SESA,Oxcart,AHY
1971-00633,Obrien,2014,8,4,13,38,NA,SESA,Oxcart,AHY
1971-00634,Obrien,2014,8,4,13,50,NA,SESA,Oxcart,AHY
1971-00635,Obrien,2014,8,4,13,50,NA,SESA,Oxcart,AHY
1971-00636,Obrien,2014,8,4,13,50,NA,SESA,Oxcart,AHY
1971-00638,Obrien,2014,8,4,13,50,438,SESA,Oxcart,AHY
1971-00639,Obrien,2014,8,4,13,50,NA,SESA,Oxcart,AHY
1971-00637,Obrien,2014,8,4,13,50,NA,SESA,Oxcart,AHY
1971-00640,Obrien,2014,8,6,13,2,NA,SESA,Oxcart,AHY
1971-00642,Obrien,2014,8,6,13,17,NA,SESA,Oxcart,AHY
1971-00641,Obrien,2014,8,6,13,28,439,SESA,Oxcart,AHY
1971-00643,Obrien,2014,8,6,13,44,NA,SESA,Oxcart,AHY
1971-00645,Obrien,2014,8,6,14,3,NA,SESA,Oxcart,AHY
1971-00644,Obrien,2014,8,6,14,4,441,SESA,Oxcart,AHY
1971-00646,Obrien,2014,8,6,14,28,NA,SESA,Oxcart,AHY
1971-00648,Obrien,2014,8,6,14,34,444,SESA,Oxcart,AHY
1971-00647,Obrien,2014,8,6,14,56,442,SESA,Oxcart,AHY
2451-02260,Obrien,2014,8,7,13,17,NA,SEPL,Oxcart,NA
1971-00649,Obrien,2014,8,7,13,36,NA,SESA,Oxcart,AHY
2391-76702,Obrien,2014,8,7,14,1,NA,LESA,Oxcart,NA
2391-76701,Obrien,2014,8,7,14,1,NA,LESA,Oxcart,NA
2391-76703,Obrien,2014,8,7,14,1,NA,LESA,Oxcart,NA
2461-15001,Obrien,2014,8,7,14,11,NA,SESA,Oxcart,AHY
1971-00650,Obrien,2014,8,7,14,11,NA,SESA,Oxcart,AHY
1971-15002,Obrien,2014,8,7,14,11,NA,SESA,Oxcart,AHY
1971-15003,Obrien,2014,8,7,14,11,440,SESA,Oxcart,AHY
2461-15004,Obrien,2014,8,7,14,11,451,SESA,Oxcart,AHY
2461-15005,Obrien,2014,8,7,14,11,NA,SESA,Oxcart,AHY
2461-15006,Obrien,2014,8,7,14,11,NA,SESA,Oxcart,AHY
2461-15007,Obrien,2014,8,7,14,11,445,SESA,Oxcart,AHY
2391-76705,Obrien,2014,8,7,15,38,NA,LESA,Oxcart,NA
2461-15008,Obrien,2014,8,7,16,8,NA,SESA,Oxcart,AHY
2461-15012,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15010,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15009,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15011,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15013,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15014,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15015,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2461-15016,Obrien,2014,8,7,16,6,447,SESA,Oxcart,AHY
2461-15018,Obrien,2014,8,7,16,6,NA,SESA,Oxcart,AHY
2391-76707,Obrien,2014,8,7,16,6,NA,LESA,Oxcart,NA
2391-76706,Obrien,2014,8,7,16,6,NA,LESA,Oxcart,NA
2391-76708,Obrien,2014,8,7,16,6,NA,LESA,Oxcart,NA
2391-76709,Obrien,2014,8,7,16,6,NA,LESA,Oxcart,NA
2461-15019,Obrien,2014,8,7,16,58,NA,SESA,Oxcart,AHY
2461-15017,Obrien,2014,8,7,16,58,NA,SESA,Oxcart,AHY
2461-15020,Obrien,2014,8,7,16,58,NA,SESA,Oxcart,AHY
2391-76710,Obrien,2014,8,8,14,15,NA,LESA,Oxcart,HY
2461-15021,Obrien,2014,8,8,14,39,448,SESA,Oxcart,AHY
2391-76711,Obrien,2014,8,8,15,20,NA,LESA,Oxcart,HY
2391-76712,Obrien,2014,8,8,15,20,NA,LESA,Oxcart,HY
2451-34301,Obrien,2014,8,8,15,38,NA,SEPL,Oxcart,AHY
2451-34302,Obrien,2014,8,8,16,21,NA,SEPL,Oxcart,AHY
2461-15022,Obrien,2014,8,8,16,27,NA,SESA,Oxcart,AHY
2461-15025,Obrien,2014,8,8,16,27,NA,SESA,Oxcart,NA
2461-15026,Obrien,2014,8,8,16,38,NA,SESA,Oxcart,AHY
2461-15024,Obrien,2014,8,8,16,38,446,SESA,Oxcart,AHY
2461-15023,Obrien,2014,8,8,16,38,NA,SESA,Oxcart,AHY
2461-15027,Obrien,2014,8,8,16,38,NA,SESA,Oxcart,AHY
2461-15029,Obrien,2014,8,8,16,38,NA,SESA,Oxcart,AHY
2461-15032,Obrien,2014,8,8,16,38,NA,SESA,Oxcart,AHY
1461-15028,Obrien,2014,8,8,17,0,NA,SESA,Oxcart,AHY
2461-15030,Obrien,2014,8,8,17,0,NA,SESA,Oxcart,AHY
2461-15031,Obrien,2014,8,8,17,27,454,SESA,Oxcart,HY
2461-15034,Obrien,2014,8,8,17,27,452,SESA,Oxcart,HY
2461-15033,Obrien,2014,8,8,17,27,453,SESA,Oxcart,AHY
2461-15039,Obrien,2014,8,8,17,27,449,SESA,Oxcart,AHY
2461-15038,Obrien,2014,8,8,17,27,456,SESA,Oxcart,AHY
2461-15041,Obrien,2014,8,8,17,27,NA,SESA,Oxcart,AHY
2461-15035,Obrien,2014,8,8,17,27,450,SESA,Oxcart,AHY
2461-15036,Obrien,2014,8,8,17,27,455,SESA,Oxcart,AHY
2461-15037,Obrien,2014,8,8,17,27,443,SESA,Oxcart,AHY
2461-15040,Obrien,2014,9,10,6,30,457,SESA,Oxcart,HY
2461-15043,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
2461-15042,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
2461-15044,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
2461-15047,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
2461-15045,Obrien,2014,9,10,6,54,NA,SESA,Oxcart,HY
2461-15046,Obrien,2014,9,10,6,54,NA,SESA,Oxcart,HY
2461-15049,Obrien,2014,9,10,7,9,NA,SESA,Oxcart,HY
2461-15048,Obrien,2014,9,10,6,54,NA,SESA,Oxcart,HY
2461-15050,Obrien,2014,9,10,6,30,458,SESA,Oxcart,HY
2461-15051,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
2461-15052,Obrien,2014,9,10,6,30,NA,SESA,Oxcart,HY
5461-15053,Obrien,2014,9,10,6,30,459,SESA,Oxcart,HY
2461-15054,Obrien,2014,9,10,7,32,464,SESA,Oxcart,HY
2461-15055,Obrien,2014,9,10,7,32,462,SESA,Oxcart,HY
2461-15056,Obrien,2014,9,10,7,32,460,SESA,Oxcart,HY
5461-15057,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15058,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15059,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15060,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15061,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15062,Obrien,2014,9,10,7,32,NA,SESA,Oxcart,HY
2461-15063,Obrien,2014,9,10,8,40,NA,SESA,Oxcart,HY
