"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"125","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00643",NA,"AHY","2",22.9,98,21.2,16.2,35.1,"13:44",NA,NA,13.4381
"126","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00644","380441","AHY","2",21.6,95,18.4,15.1,30.2,"14:04","1408",NA,9.4783
"127","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00645",NA,"AHY","2",21.3,95,19.9,15.3,37.8,"14:03",NA,NA,17.0783
"128","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00646",NA,"AHY","2",21.2,92,19.9,15,32.4,"14:28","1433",NA,12.6185
"129","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00647","380442","AHY","0.5",20.9,98,20.9,16.4,26.3,"14:56","1500",NA,4.6381
"130","Obrien - RCNWR","8/6/2014","RCNWR-Oxcart Lane","SESA","1971-00648","380444","AHY","2",20.2,96,18.1,15.2,25.4,"14:34",NA,NA,4.3649
"131","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","1971-00649",NA,"AHY","3",22.5,99,22.5,17.6,40.3,"13:36",NA,NA,18.3247
"132","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","1971-00650",NA,"AHY","2",22,98,20.9,15.7,35.8,"14:11","1424",NA,14.1381
"133","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","1971-15002",NA,"AHY","3",20.9,95,19.9,16.6,32.1,"14:11","1429",NA,11.3783
"134","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","1971-15003","380440","AHY","2",19.7,95,19.1,15.7,28.2,"14:11",NA,NA,7.4783
"135","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76701",NA,"UNK","0",19.6,90,20.1,15.5,21.1,"14:01",NA,NA,NA
"136","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76702",NA,"UNK","1",19,85,18.5,14.8,19.1,"14:01",NA,NA,NA
"137","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76703",NA,"UNK","1",19.3,88,18.1,15.6,19.4,"14:01",NA,NA,NA
"138","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76705",NA,"UNK","1",19,88,19.1,15.3,19,"15:38",NA,NA,NA
"139","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76706",NA,"UNK","1",20.1,87,19.7,15,21,"16:06",NA,NA,NA
"140","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76707",NA,"UNK","2",19.4,89,18.4,14.9,22.1,"16:06",NA,NA,NA
"141","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76708",NA,"UNK","2",19.4,89,19,15.3,19.9,"16:06",NA,NA,NA
"142","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","LESA","2391-76709",NA,"UNK","1",18.1,89,17.9,14.1,17.3,"16:06",NA,NA,NA
"143","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","LESA","2391-76710",NA,"HY","2",17.4,88,17.4,13.9,17.4,"14:15",NA,NA,NA
"144","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","LESA","2391-76711",NA,"HY","0",18.9,88,18.5,15.3,19.3,"15:20",NA,NA,NA
"145","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","LESA","2391-76712",NA,"HY","1",18.2,90,19,15.2,21,"15:20",NA,NA,NA
"146","Obrien - RCNWR","8/7/2015","RCNWR-Oxcart Lane","WRSA","2411-53901",NA,"AHY","1",23.8,122,20.2,24.9,35.6,"1048",NA,NA,NA
"147","Holbt - Popham","9/9/2015","Popham Beach","SAND","2411-53902","271","HY","2",24.3,122,17.5,23.5,49.6,"920",NA,NA,NA
"148","Holbt - Popham","9/9/2015","Popham Beach","SAND","2411-53903","80","HY","1",25.2,124,18.5,24.8,45.4,"920",NA,NA,NA
"149","Holbt - Popham","9/9/2015","Popham Beach","SAND","2411-53904","81","HY","1",25.8,121,20.3,27.3,44.4,"920",NA,NA,NA
"150","Holbt - Popham","9/9/2015","Popham Beach","SAND","2411-53905","270","HY","1",26.2,125,21.8,28.6,51.4,"920",NA,NA,NA
"151","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SEPL","2451-02260",NA,"UNK","0",25.2,115,13.5,7.9,35.4,"13:17",NA,NA,NA
"152","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SEPL","2451-022XX",NA,"AHY","2",24,126,12.8,8.1,46.6,"13:36",NA,NA,NA
"153","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SEPL","2451-34301",NA,"AHY","1",24.6,119,12.7,7.8,45.2,"15:38",NA,NA,NA
"154","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SEPL","2451-34302",NA,"AHY","2",24.1,124,12.1,7.7,58.6,"16:21",NA,NA,NA
"155","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15001",NA,"AHY","2",22.5,97,23.2,19.6,29.5,"14:11",NA,NA,8.1515
"156","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15004","380451","AHY","1",20.1,95,18.8,15.2,23.3,"14:11",NA,NA,2.5783
"157","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15005",NA,"AHY","2",20.5,96,19.2,15.8,34.7,"14:11",NA,NA,13.6649
"158","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15006",NA,"AHY","1",21.1,103,23.4,18.6,31.1,"14:11",NA,NA,7.8711
"159","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15007","380445","AHY","1",22,92,20.3,15.6,30.3,"14:11",NA,NA,10.5185
"160","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15008",NA,"AHY","1",20.9,95,21.1,15.9,37,"16:08","1504",NA,16.2783
"161","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15009",NA,"AHY","2",20.8,98,21.9,17.6,38.9,"16:06","1618",NA,17.2381
"162","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15010",NA,"AHY","3",20.5,95,19.1,14.6,35.1,"16:06","1618",NA,14.3783
"163","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15011",NA,"AHY","3",21.7,98,21.6,18.1,38.4,"16:06","1621",NA,16.7381
"164","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15012",NA,"AHY","2",22.2,98,20.8,17.5,33,"16:06","1620",NA,11.3381
"165","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15013",NA,"AHY","2",20.5,96,20.3,15.9,32.1,"16:06",NA,NA,11.0649
"166","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15014",NA,"AHY","2",21.5,98,20.8,17,36.1,"16:06",NA,NA,14.4381
"167","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15015",NA,"AHY","2",21.4,96,21.5,18,35.3,"16:06",NA,NA,14.2649
"168","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15016","380447","AHY","2",21.6,96,20.5,16,28.2,"16:06",NA,NA,7.1649
"169","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15017",NA,"AHY","2",21.6,95,18.8,15.5,31,"16:58","1502",NA,10.2783
"170","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15018",NA,"AHY","2",21.2,97,18.8,15.1,34.7,"16:06",NA,NA,13.3515
"171","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15019",NA,"AHY","2",21.6,96,19.7,15.8,36.3,"16:58","1502",NA,15.2649
"172","Obrien - RCNWR","8/7/2014","RCNWR-Oxcart Lane","SESA","2461-15020",NA,"AHY","2",23,97,21.3,18.7,32.3,"16:58",NA,NA,10.9515
"173","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15021","380448","AHY","1",20.1,95,17.5,13.9,29.9,"14:39","1443",NA,9.1783
"174","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15022",NA,"AHY",NA,NA,NA,NA,NA,29.6,"16:27","1636",NA,NA
"175","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15023",NA,"AHY","2",22.6,95,20.7,17,34.9,"16:38","1647",NA,14.1783
"176","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15024","380446","AHY","1",21.9,98,19.5,15.4,27.9,"16:38","1648",NA,6.2381
"177","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15025",NA,NA,"2",21.4,88,19.9,15.2,32,"16:27",NA,NA,13.4721
"178","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15026",NA,"AHY","2",22,94,19.3,15.5,33.5,"16:38","1646",NA,13.0917
"179","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15027",NA,"AHY","2",22.2,99,22.1,19.1,34.6,"16:38",NA,NA,12.6247
"180","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15029",NA,"AHY","1",21.74,96,20.1,16.1,34.7,"16:38",NA,NA,13.6649
"181","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15030",NA,"AHY","2",21.8,99,20.3,15.7,33.7,"17:00","1711",NA,11.7247
"182","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15031","380454","HY","2",21,96,22.4,18.3,27.3,"17:27",NA,NA,6.2649
"183","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15032",NA,"AHY","2",20.7,93,19.6,15.5,29.3,"16:38",NA,NA,9.2051
"184","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15033","380453","AHY","2",21.1,96,18.7,15.1,25.7,"17:27",NA,NA,4.6649
"185","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15034","380452","HY","1",22.5,95,23.4,19.1,25.8,"17:27",NA,NA,5.0783
"186","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15035","380450","AHY","1",21.5,95,20.8,16.3,26.3,"17:27",NA,NA,5.5783
"187","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15036","380455","AHY","1",21.3,95,21,16.7,29.2,"17:27",NA,NA,8.4783
"188","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15037","380443","AHY","1",22.6,96,21.6,17.6,29.5,"17:27",NA,NA,8.4649
"189","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15038","380456","AHY","1",21.1,90,18.9,14.6,23.1,"17:27",NA,NA,3.9453
"190","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15038",NA,"AHY",NA,20,93,14.5,17.6,29,"1228",NA,NA,8.9051
"191","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15039","380449","AHY","1",23.3,94,18.9,15.2,28.3,"17:27",NA,NA,7.8917
"192","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15040","380457","HY","2",21.6,91,14.1,17.8,29.7,"6:30","642",NA,10.2319
"193","Obrien - RCNWR","8/8/2014","RCNWR-Oxcart Lane","SESA","2461-15041",NA,"AHY","2",21.4,95,18.8,15.2,25.7,"17:27",NA,NA,4.9783
"194","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15042",NA,"HY","2",20.5,95,15.6,18.9,35.1,"6:30","644",NA,14.3783
"195","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15043",NA,"HY","3",21.9,102,17.3,21.6,38.7,"6:30","644",NA,15.7845
"196","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15044",NA,"HY","2",21.2,94,16,19.4,33.7,"6:30",NA,NA,13.2917
"197","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15045",NA,"HY","3",22.8,97,15,19.5,35.6,"6:54","703",NA,14.2515
"198","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15046",NA,"HY","2",20,95,14.8,18.4,30.2,"6:54","703",NA,9.4783
"199","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15047",NA,"HY","3",21.3,97,15.7,19.5,35.2,"6:30",NA,NA,13.8515
"200","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15048",NA,"HY","3",23.1,97,16.8,20.2,37.8,"6:54",NA,NA,16.4515
"201","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15049",NA,"HY","2",21.6,100,17.9,21.6,30.7,"7:09","715",NA,8.4113
"202","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15050","380458","HY","0.5",20.6,96,15.7,19,23.4,"6:30",NA,NA,2.3649
"203","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15051",NA,"HY","3",22.7,97,18.7,22.3,35.4,"6:30",NA,NA,14.0515
"204","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15052",NA,"HY","2",22.8,97,16,19.5,33,"6:30",NA,NA,11.6515
"205","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15054","380464","HY","2",20.4,97,16.4,20.1,29,"7:32",NA,NA,7.6515
"206","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15055","380462","HY","3",21.9,94,13.8,17.4,22.2,"7:32",NA,NA,1.7917
"207","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15056","380460","HY","2",21.6,96,16.2,19.5,28.6,"7:32",NA,NA,7.5649
"208","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15058",NA,"HY","2",23.3,99,17.8,21.4,37.1,"7:32",NA,NA,15.1247
"209","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15059",NA,"HY","2",21.5,95,20.5,20.5,31.3,"7:32",NA,NA,10.5783
"210","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15060",NA,"HY","1",21.7,98,16.5,20,31.9,"7:32",NA,NA,10.2381
"211","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15061",NA,"HY","2",21.4,95,17.8,20.8,34.2,"7:32",NA,NA,13.4783
"212","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15062",NA,"HY","4",21.4,94,16.1,19.9,32.4,"7:32",NA,NA,11.9917
"213","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15063",NA,"HY","2",22.9,100,16.6,20.6,32.4,"8:40","852",NA,10.1113
"214","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15064",NA,"HY","2",20,97,17,19.8,NA,"8:40","852",NA,NA
"215","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15065","380466","HY","2",20.7,96,16.6,20.4,29.4,"8:40",NA,NA,8.3649
"216","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15066",NA,"HY","1",22.4,103,16.8,20.2,34.7,"8:40","853",NA,11.4711
"217","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15067","380465","HY","2",21.7,93,13.5,18.3,29.2,"8:40",NA,NA,9.1051
"218","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15068",NA,"AHY","3",20.6,96,15.5,19.1,33.9,"8:40",NA,NA,12.8649
"219","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15069","380463","AHY","2",20.2,96,15.1,18.3,29.6,"8:40",NA,NA,8.5649
"220","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15070","380461","HY","3",22.2,96,17.1,20.4,30.8,"8:40",NA,NA,9.7649
"221","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15071",NA,"HY","3",22.5,97,17.2,20.9,34.5,"8:40",NA,NA,13.1515
"222","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15073",NA,"AHY","2",21.5,95,16.6,20.3,31.2,"8:40",NA,NA,10.4783
"223","Obrien - RCNWR","9/10/2014","RCNWR-Oxcart Lane","SESA","2461-15082",NA,"HY","2",22,93,15.2,18.5,30.3,"8:40",NA,NA,10.2051
"224","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15101","497","AHY",NA,23.1,99,18.3,22.3,30.1,"945",NA,NA,8.1247
"225","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15102","491","AHY",NA,21.3,96,15.3,19.4,24.9,"945",NA,NA,3.8649
"226","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15103","490","AHY",NA,21.4,96,15.3,19,23.9,"945",NA,NA,2.8649
"227","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15104","494","AHY",NA,22,95,17.1,21,25.4,"945",NA,NA,4.6783
"228","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15105","492","AHY",NA,23.2,97,16.5,21,30.8,"952",NA,NA,9.4515
"229","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15106",NA,"AHY",NA,21.3,94,17.1,21.5,27.4,"1030",NA,NA,6.99169999999999
"230","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15107",NA,"AHY",NA,21.8,91,15.5,20.4,29.5,"1030",NA,NA,10.0319
"231","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15108","495","AHY",NA,23,98.5,17,22.2,27.2,"1042",NA,NA,5.3814
"232","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15109",NA,"AHY",NA,20.8,95,17.5,20.9,34.7,"1042",NA,NA,13.9783
"233","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15110",NA,"AHY",NA,23.8,95,16.5,20,32.7,"1042",NA,NA,11.9783
"234","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15111","500","AHY",NA,20.9,94,15.3,18.1,29.8,"1042",NA,NA,9.3917
"235","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15112","493","AHY",NA,20.4,95,16.6,20.3,25.5,"1042",NA,NA,4.7783
"236","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15113",NA,"AHY",NA,23.4,101,17.9,22.8,38.5,"1042",NA,NA,15.8979
"237","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15114","496","AHY",NA,19.6,92,15.5,19.7,24.7,"1042",NA,NA,4.9185
"238","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15115",NA,"AHY",NA,21.1,97,16.5,20.3,31.2,"1042",NA,NA,9.8515
"239","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15116",NA,"AHY",NA,24.4,99.5,15.9,19.9,31.5,"1042",NA,NA,9.36799999999999
"240","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15117",NA,"AHY",NA,22,94,14.3,17.8,31,"1042",NA,NA,10.5917
"241","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15118",NA,"AHY",NA,23,98,16.6,20.2,25.6,"1042",NA,NA,3.9381
"242","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15119",NA,"AHY",NA,22.1,94,15.6,19.4,25.5,"1042",NA,NA,5.0917
"243","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SEPL","2461-15120",NA,NA,NA,22.8,120,7.8,13.1,50.6,"1115",NA,NA,NA
"244","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15121","498","AHY",NA,22.9,100,16.7,21.3,26.1,"1110",NA,NA,3.8113
"245","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SEPL","2461-15122",NA,"AHY",NA,22.5,121.5,8.4,13.1,53.2,"1055",NA,NA,NA
"246","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15123","499","AHY",NA,21.6,93,15.5,19.3,26.2,"1125",NA,NA,6.1051
"247","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane",NA,"2461-15124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15125",NA,"AHY",NA,20.9,96.5,16.1,19,31.1,"1220",NA,NA,9.9082
"249","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15126","502","AHY",NA,20.9,96,15.9,19.3,27.1,"1228",NA,NA,6.0649
"250","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15127","503","AHY",NA,22.1,95,15.9,20.5,28.4,"1228",NA,NA,7.6783
"251","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15128","504","AHY",NA,22.6,96,17.6,22.6,26.2,"1228",NA,NA,5.1649
"252","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15129",NA,"AHY",NA,21.9,96,15.4,18.8,21,"1228",NA,NA,0
"253","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15130",NA,"AHY",NA,21.1,95,16.3,20.7,28.2,"1228",NA,NA,7.4783
"254","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15131",NA,"AHY",NA,23.5,101,16,20.1,30.9,"1228",NA,NA,8.2979
"255","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15132",NA,"AHY",NA,20.2,94,15.4,20,34.6,"1228",NA,NA,14.1917
"256","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15133",NA,"AHY",NA,20.6,95,15.4,19,24.8,"1228",NA,NA,4.0783
"257","Obrien - RCNWR","8/5/2015","RCNWR-Oxcart Lane","SESA","2461-15134",NA,"AHY",NA,22.4,103,18.3,21.9,33.4,"1228",NA,NA,10.1711
"258","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56201","10","AHY","1",20.8,97,17.14,20.5,24,"17:58","1808",0.5152,2.6515
"259","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56202","7","AHY","0",21.53,98.5,16.75,19.22,23,"17:58","1820",0.5343,1.1814
"260","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56203","8","AHY","1",21.54,98,16.75,19.81,27,"17:58","1812",0.5044,5.3381
"261","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56204","11","AHY","1",21.67,94.5,16.63,18.82,26,"17:58","1835",0.4844,5.435
"262","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56205","31","AHY","1",21.51,97.5,15.47,18.02,26,"17:58","1842",0.5016,4.4948
"263","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56206","9","AHY","1",24.04,100,16.55,19.12,28,"17:58",NA,NA,5.7113
"264","Holbt - Addison","08/05/2014","Addison-LEDGE","SESA","2571-56207","30","AHY","1",20.9,94,15.05,17.67,21,"17:58",NA,NA,0.591699999999996
"265","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56208",NA,"AHY","1",29.97,96,15.89,18.86,25,"08:02",NA,NA,3.9649
"266","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56209",NA,"AHY","3",21.16,100.5,16.17,19.17,34,"08:02","812",0.5104,11.5546
"267","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56210",NA,"AHY","3",21.43,103,17.89,21.36,39,"08:02","823",0.531,15.7711
"268","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56211","175","AHY","1",21.16,95.5,15.83,18.53,30,"08:02","817",0.531,9.1216
"269","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56212","176","AHY","1",21.31,98,15.28,18.51,26,"08:02","818",0.5104,4.3381
"270","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56213",NA,"AHY","2",22.61,102,16.4,19.49,33,"08:02","826",0.5136,10.0845
"271","Holbt - Addison","08/08/2014","Addison-DRY LEDGE","SESA","2571-56214","409","AHY","3",21.87,97,16.86,19.3,27,"08:02","831",0.5139,5.6515
"272","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56215","179","AHY","1",22.66,99.5,16.67,20.22,29,"10:04","1020",0.5206,6.86799999999999
"273","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56216",NA,"AHY","2",23.62,104,18.08,21.89,37,"10:04","1012",0.4976,13.4577
"274","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56217","177","AHY","1",22.27,101,17.52,20.44,30,"10:04","1017",0.4863,7.3979
"275","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56218",NA,"AHY","3",21.35,97,15.52,18.7,31,"10:04","1019",0.4917,9.6515
"276","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56219","178","AHY","2",21.07,101,16.09,19.2,29,"10:04",NA,NA,6.3979
"277","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56220","180","AHY","1",22.07,96.5,14.36,16.54,24,"10:04",NA,NA,2.8082
"278","Holbt - Addison","08/08/2014","Addison-RASPBERRY LEDGE","SESA","2571-56221","412","AHY","1",23.64,97.5,17.21,20.34,25,"10:04",NA,NA,3.4948
"279","Holbt - Addison","08/18/2014","Addison-LOWER WASS COVE","LESA","2571-56222",NA,"HY","0.5",19.06,87,14.57,17.72,18,"09:30",NA,NA,NA
"280","Holbt - Addison","08/18/2014","Addison-LOWER WASS COVE","LESA","2571-56223",NA,"HY","0.5",20.7,89,14.24,17.23,21,"09:30",NA,NA,NA
"281","Holbt - Addison","08/18/2014","Addison-LOWER WASS COVE","SESA","2571-56224","414","HY","2",20.97,94,15.81,19.54,25,"10:39","1046",0.5144,4.5917
"282","Holbt - Addison","08/18/2014","Addison-LOWER WASS COVE","SESA","2571-56225","189","HY","1",20.64,96.5,15.7,19.59,23,"10:39","1050",0.459,1.8082
"283","Holbt - Addison","08/18/2014","Addison-LOWER WASS COVE","SESA","2571-56226","411","HY","1",20.98,94,16.43,19.65,27,"10:39","1053",0.5144,6.5917
