"","Project","Date","Site","Species","BBL.ID","Nanotag","Age","Fat","Tarsus..mm.","WC","Bill.Length..mm.","Exposed.Culmen..mm.","Mass","Capture.Time","Bleed.Time","HCT","FM"
"15","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53445",NA,"HY",NA,20.67,96.5,NA,17.6,29,"1720",NA,NA,7.8082
"16","Holbt - Addison","08/15/2013","Addison-DRY LEDGE","SESA","1311-53446",NA,"AHY",NA,22.13,96,NA,18.59,30,"1720",NA,NA,8.9649
"17","Holbt - Addison","08/16/2013","Addison-MILL RIVER","SEPL","1311-53447","59","AHY","0.5",24.8,124,8,12.4,41.2,"1458",NA,NA,NA
"18","Holbt - Addison","08/16/2013","Addison-MILL RIVER","SEPL","1311-53448","61","HY","0",25.7,119,7.5,11.3,31.1,"1526",NA,NA,NA
"19","Holbt - Addison","08/16/2013","Addison-MILL RIVER","LESA","1311-53449","58","HY","1",19.1,92,15.5,18.9,21.1,"1543",NA,NA,NA
"20","Holbt - Addison","08/16/2013","Addison-MILL RIVER","SESA","1311-53450","70","HY","0",22.4,98,14.3,17.7,23.2,"1605",NA,NA,1.5381
"21","Holbt - Addison","08/16/2013","Addison-MILL RIVER","LESA","1311-53451","71","HY","3",20.3,95.5,15.9,18.6,32.7,"1605",NA,NA,NA
"22","Holbt - Addison","08/16/2013","Addison-MILL RIVER","SESA","1311-53452","75","HY","1",21.4,95,14.5,17.9,26.6,"1605",NA,NA,5.8783
"23","Holbt - Addison","08/16/2013","Addison-MILL RIVER","SESA","1311-53453","73","HY","0",23.7,97,17.2,20.5,22,"1605",NA,NA,0.651499999999999
"24","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53454","79","HY",NA,24.15,90.5,NA,19.25,28,"0925",NA,NA,8.6886
"25","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53455","74","AHY","2",22.38,95.5,NA,17.29,30,"0925",NA,NA,9.1216
"26","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53456","80","AHY","3",20.62,93.5,NA,18.31,34,"0925",NA,NA,13.7484
"27","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53457","81","HY","1",22,93.5,NA,18.01,24,"0925",NA,NA,3.7484
"28","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53458","82","AHY","2",22.11,96.5,NA,16.38,34,"0925",NA,NA,12.8082
"29","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53459","78","HY","1",23.05,99.5,NA,19.89,26,"0925",NA,NA,3.86799999999999
"30","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53460","7","AHY","1",21.61,96,NA,18.02,27,"0925",NA,NA,5.9649
"31","Holbt - Addison","08/20/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53461","8","HY","1",21.25,94.5,NA,19.87,24,"0925",NA,NA,3.435
"32","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53462",NA,"AHY","2",22.1,102,NA,20.4,38,NA,NA,NA,15.0845
"33","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53463","5","AHY","SOME",21.64,96.5,NA,17.62,29,NA,NA,NA,7.8082
"34","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53464","6","AHY","2",21.28,96.5,NA,17.49,30,NA,NA,NA,8.8082
"35","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53465","9","AHY","1",21.4,93.5,NA,17.96,23,NA,NA,NA,2.7484
"36","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53466","13","AHY","2",21.85,95.5,NA,19.37,28,NA,NA,NA,7.1216
"37","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53467","12","SY","2",21.11,95,NA,19.14,30,NA,NA,NA,9.2783
"38","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53468","11","HY","2",21.66,97.5,NA,20.22,27,NA,NA,NA,5.4948
"39","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53469","77","HY","1",21.1,96.5,NA,17.03,26,NA,NA,NA,4.8082
"40","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53470",NA,"AHY","3",22.77,98.5,NA,18.8,34,NA,NA,NA,12.1814
"41","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53471","63","HY","1",22.25,96.5,NA,18.68,26,NA,NA,NA,4.8082
"42","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53472","14","HY","0.5",21.91,99,NA,18.75,24,NA,NA,NA,2.0247
"43","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53473","76","HY","1",22.65,100.5,NA,20.38,27,NA,NA,NA,4.5546
"44","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53474",NA,"AHY","2",21.82,97.5,NA,20.14,33,NA,NA,NA,11.4948
"45","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53475",NA,"AHY","3",22.22,100.5,NA,22.21,40,NA,NA,NA,17.5546
"46","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53476",NA,"HY","2",20.9,98,NA,16.89,30,NA,NA,NA,8.3381
"47","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53477","10","HY","0.5",21.68,102.5,NA,20.38,27,NA,NA,NA,3.9278
"48","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53478",NA,"HY","1",21.03,93,NA,19.85,24,NA,NA,NA,3.9051
"49","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53479",NA,"HY","1",21.85,93.5,NA,17.11,24,NA,NA,NA,3.7484
"50","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53480",NA,"HY","1",21.45,98,NA,19.21,29,NA,NA,NA,7.3381
"51","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53481",NA,"AHY","1",21.47,94.5,NA,17.8,35,NA,NA,NA,14.435
"52","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53482",NA,"AHY","2",22.82,91.5,NA,19,30,NA,NA,NA,10.3752
"53","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53483",NA,"HY","1",22.55,96.5,NA,19.65,27,NA,NA,NA,5.8082
"54","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53484",NA,"HY","0.5",22.82,96,NA,17.19,20,NA,NA,NA,0
"55","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53485",NA,"AHY","1",21.94,95,NA,17.85,34,NA,NA,NA,13.2783
"56","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53486",NA,"AHY","2",22.69,93.5,NA,17.85,37,NA,NA,NA,16.7484
"57","Holbt - Addison","08/20/2013","Addison-NARROWS I LEDGE","SESA","1311-53487",NA,"HY","1",22.45,93,NA,17.56,24,NA,NA,NA,3.9051
"58","Holbt - Addison","08/27/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53488",NA,NA,"1",20.8,96,18.06,21.31,27,"1516","15:22",0.52,5.9649
"59","Holbt - Addison","08/27/2013","Addison-RASPBERRY I LEDGE","SESA","1311-53489",NA,"HY","2",21.21,94,13.12,16.2,28,"1516","15:29",0.5,7.5917
