BBL.ID,Date,Year,Proj,Location,Species,Age,Mass,WC ,EC,Tarsus,Culmen,Fat,Nanotag,Julian
2571-56251,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,27,95.5,17.15,20.54,15.07,2,195,253
2571-56252,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,29,93.5,18.75,21.1,16,3,196,253
2571-56253,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,33,97,18.29,22.17,15.74,3,NA,253
2571-56254,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,32,96.5,20.21,21.34,17.56,4,NA,253
2571-56255,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,31,94,17.35,22.94,14.92,3,194,253
2571-56256,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,27,99,18.58,22.54,16.38,1,193,253
2571-56257,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,41,101.5,21.58,21.89,17.96,6,NA,253
2571-56258,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,27,93.5,16.75,22.01,14.74,2,185,253
2571-56259,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,33,93.5,19.35,22.41,15.76,3,NA,253
2571-56260,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,30,96.5,19.06,21.54,15.74,2,191,253
2571-56261,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,31,96.5,18.3,21.67,14.73,3,183,253
2571-56262,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,31,96.5,18.25,22.08,15.69,6,NA,253
2571-56263,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,34,93,17.62,21.06,14.27,2,NA,253
2571-56264,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,35,91.5,17.72,21.65,15.65,4,NA,253
2571-56265,09/10/2014,2014,Holbt,NARROWS LEDGE,SESA,HY,32,95.5,19.54,20.8,15.84,4,NA,253
1971-00627,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,34,96,20.7,22,18.9,2,NA,216
1971-00629,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,28,97,20.3,20.8,16.2,2,437,216
1971-00630,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,39,96,20.1,23.05,16.4,2,NA,216
1971-00631,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,35,101,19.5,23.1,15.6,2,NA,216
1971-00632,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,32,92,18.7,21.4,15.1,2,NA,216
1971-00633,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,34,99,20.4,23.4,15.9,3,NA,216
1971-00634,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,37,94,20.3,21.5,15.9,2,NA,216
1971-00635,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,32,96,20,21.5,15.9,2,NA,216
1971-00636,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,37,96,19.6,20.2,15.1,3,NA,216
1971-00638,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,29,91,18.6,21,14.1,1,438,216
1971-00639,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,31,95,18.7,21.7,14.9,2,NA,216
1971-00637,08/04/2014,2014,OBrien,Oxcart,SESA,AHY,27,101,21.1,21.6,18,1,NA,216
1971-00640,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,33,95,20.6,21,16.3,2,NA,218
1971-00641,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,32.7,100,23.6,22.9,19.2,1,NA,218
1971-00641,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,28.3,96,20.1,21.2,16.3,1,439,218
1971-00643,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,35.1,98,21.2,22.9,16.2,2,NA,218
1971-00645,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,37.8,95,19.9,21.3,15.3,2,NA,218
1971-00644,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,30.2,95,18.4,21.6,15.1,2,441,218
1971-00646,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,32.4,92,19.9,21.2,15,2,NA,218
1971-00648,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,25.4,96,18.1,20.2,15.2,2,444,218
1971-00647,08/06/2014,2014,OBrien,Oxcart,SESA,AHY,26.3,98,20.9,20.9,16.4,0.5,442,218
1971-00649,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,40.3,99,22.5,22.5,17.6,3,NA,219
2461-15001,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,29.5,97,23.2,22.5,19.6,2,NA,219
1971-00650,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,35.8,98,20.9,22,15.7,2,NA,219
1971-15002,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,32.1,95,19.9,20.9,16.6,3,NA,219
1971-15003,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,28.2,95,19.1,19.7,15.7,2,440,219
2461-15004,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,23.3,95,18.8,20.1,15.2,1,451,219
2461-15005,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,34.7,96,19.2,20.5,15.8,2,NA,219
2461-15006,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,31.1,103,23.4,21.1,18.6,1,NA,219
2461-15007,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,30.3,92,20.3,22,15.6,1,445,219
2461-15008,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,37,95,21.1,20.9,15.9,1,NA,219
2461-15012,08/07/2014,2014,OBrien,Oxcart,SESA,AHY,33,98,20.8,22.2,17.5,2,NA,219
